1	86	34	24	28
2	101	46	33	22
3	103	48	34	21
4	100	40	44	16
5	106	55	30	21
6	94	39	32	23
7	105	33	30	42
8	112	16	18	78
9	121	12	32	77
10	164	23	63	78
11	198	57	64	77
12	204	59	66	79
13	200	56	66	78
14	186	52	61	73
15	194	55	63	76
16	199	56	65	78
17	195	54	65	76
18	202	58	66	78
19	200	58	64	78
20	197	57	64	76
21	208	59	67	82
22	194	57	63	74
23	197	56	64	77
24	207	60	66	81
25	198	56	65	77
26	194	57	62	75
27	206	59	67	80
28	202	57	66	79
29	191	54	62	75
30	192	54	62	76
31	200	57	66	77
32	195	55	64	76
33	198	57	64	77
34	197	57	64	76
35	204	60	65	79
36	204	58	66	80
37	202	57	67	78
38	200	57	66	77
39	195	56	63	76
40	199	57	65	77
41	200	57	65	78
42	194	55	63	76
43	200	58	65	77
44	194	55	62	77
45	194	56	62	76
46	188	54	60	74
47	194	55	63	76
48	185	52	61	72
49	194	53	64	77
50	190	53	62	75
51	200	57	65	78
52	193	54	63	76
53	197	57	63	77
54	189	54	61	74
55	186	54	60	72
56	187	54	60	73
57	199	58	64	77
58	199	58	64	77
59	204	58	67	79
60	197	54	65	78
61	191	53	63	75
62	187	53	62	72
63	196	55	65	76
64	198	56	65	77
65	200	58	64	78
66	195	56	64	75
67	198	56	66	76
68	190	54	63	73
69	110	32	35	43
70	0	0	0	0
71	0	0	0	0
72	0	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	0	0
79	0	0	0	0
80	0	0	0	0
81	0	0	0	0
82	0	0	0	0
83	0	0	0	0
84	0	0	0	0
85	0	0	0	0
86	0	0	0	0
87	0	0	0	0
88	0	0	0	0
89	45	19	26	0
90	131	54	77	0
91	117	49	68	0
92	120	50	70	0
93	127	54	73	0
94	125	52	73	0
95	130	54	76	0
96	125	52	73	0
97	129	54	75	0
98	128	53	75	0
99	124	53	71	0
100	121	50	71	0
101	127	52	75	0
102	123	51	72	0
103	127	54	73	0
104	126	52	74	0
105	123	52	71	0
106	122	51	71	0
107	118	49	69	0
108	119	49	70	0
109	118	48	70	0
110	124	52	72	0
111	123	52	71	0
112	125	52	73	0
113	115	48	67	0
114	124	53	71	0
115	127	53	74	0
116	112	48	64	0
117	125	53	72	0
118	123	51	72	0
119	118	50	68	0
120	118	49	69	0
121	122	51	71	0
122	124	51	73	0
123	123	51	72	0
124	114	47	67	0
125	124	51	73	0
126	120	50	70	0
127	128	55	73	0
128	137	61	76	0
129	140	62	78	0
130	133	57	76	0
131	100	44	56	0
132	0	0	0	0
133	0	0	0	0
134	0	0	0	0
135	0	0	0	0
136	0	0	0	0
137	16	0	16	0
138	117	42	75	0
139	123	53	70	0
140	128	54	74	0
141	128	54	74	0
142	130	55	75	0
143	126	54	72	0
144	129	55	74	0
145	127	54	73	0
146	124	53	71	0
147	130	54	76	0
148	129	55	74	0
149	121	50	71	0
150	128	53	75	0
151	126	53	73	0
152	123	50	73	0
153	132	56	76	0
154	122	50	72	0
155	126	54	72	0
156	126	53	73	0
157	121	50	71	0
158	122	52	70	0
159	123	51	72	0
160	128	54	74	0
161	129	55	74	0
162	122	51	71	0
163	127	54	73	0
164	129	54	75	0
165	120	51	69	0
166	121	50	71	0
167	118	50	68	0
168	121	51	70	0
169	121	51	70	0
170	123	52	71	0
171	128	54	74	0
172	129	55	74	0
173	123	53	70	0
174	124	52	72	0
175	125	52	73	0
176	34	15	19	0
177	0	0	0	0
178	0	0	0	0
179	0	0	0	0
180	0	0	0	0
181	0	0	0	0
182	0	0	0	0
183	0	0	0	0
184	0	0	0	0
185	0	0	0	0
186	0	0	0	0
187	0	0	0	0
188	0	0	0	0
189	66	28	38	0
190	179	57	73	49
191	183	52	69	62
192	186	54	72	60
193	194	56	75	63
194	184	54	70	60
195	183	52	70	61
196	188	53	73	62
197	183	51	73	59
198	195	57	75	63
199	193	54	76	63
200	194	54	76	64
201	196	56	77	63
202	195	56	75	64
203	196	57	75	64
204	194	57	75	62
205	198	58	76	64
206	193	56	74	63
207	196	56	76	64
208	193	55	73	65
209	188	53	73	62
210	187	53	73	61
211	189	53	74	62
212	188	53	74	61
213	190	55	73	62
214	173	49	66	58
215	193	55	75	63
216	193	55	74	64
217	186	54	71	61
218	190	55	73	62
